Category,Name of medicine,EMA product number,Medicine status,Opinion status,Latest procedure affecting product information,International non-proprietary name (INN) / common name,Active substance,Therapeutic area (MeSH),Species (veterinary),Patient safety,ATC code (human),ATCvet code (veterinary),Pharmacotherapeutic group (human),Pharmacotherapeutic group (veterinary),Therapeutic indication,Accelerated assessment,Additional monitoring,Advanced therapy,Biosimilar,Conditional approval,Exceptional circumstances,Generic or hybrid,Orphan medicine,PRIME: priority medicine,Marketing authorisation developer / applicant / holder,European Commission decision date,Start of rolling review date,Start of evaluation date,Opinion adopted date,Withdrawal of application date,Marketing authorisation date,Refusal of marketing authorisation date,Withdrawal / expiry / revocation / lapse of marketing authorisation date,Suspension of marketing authorisation date,Revision number,First published date,Last updated date,Medicine URL
Human,Tryngolza,EMEA/H/C/006477,Authorised,,,olezarsen,olezarsen sodium,Hyperlipoproteinemia Type I,,No,C10AX,,Lipid modifying agents,,Tryngolza is indicated as an adjunct to diet in adult patients for the treatment of genetically confirmed familial chylomicronemia syndrome (FCS).&nbsp;,No,Yes,No,No,No,No,No,Yes,No,Ionis Ireland Limited,,,,24/07/2025,,17/09/2025,,,,,25/07/2025,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/tryngolza
Human,Izamby,EMEA/H/C/006152,Authorised,,N/0000288023,denosumab,denosumab,"Bone Resorption;Osteoporosis;Osteoporosis, Postmenopausal",,No,M05BX04,,Drugs for treatment of bone diseases,,"Treatment of osteoporosis in postmenopausal women and in men at increased risk of fractures. In postmenopausal women, denosumab significantly reduces the risk of vertebral, non-vertebral and hip fractures.Treatment of bone loss associated with hormone ablation in men with prostate cancer at increased risk of fractures (see section 5.1). In men with prostate cancer receiving hormone ablation, Izamby significantly reduces the risk of vertebral fractures.Treatment of bone loss associated with long-term systemic glucocorticoid therapy in adult patients at increased risk of fracture (see section 5.1).",No,Yes,No,Yes,No,No,No,No,No,Mabxience Research SL,29/07/2025,,,25/04/2025,,26/06/2025,,,,1,25/04/2025,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/izamby
Human,Mynzepli,EMEA/H/C/006438,Authorised,,,aflibercept,aflibercept,Wet Macular Degeneration;Macular Edema;Diabetes Complications;Retinal Vein Occlusion;Choroidal Neovascularization,,No,S01LA05,,Ophthalmologicals,,"Mynzepli is indicated for adults for the treatment of- neovascular (wet) age-related macular degeneration (AMD),- visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO),- visual impairment due to diabetic macular oedema (DME),- visual impairment due to myopic choroidal neovascularisation (myopic CNV)",No,Yes,No,Yes,No,No,No,No,No,Advanz Pharma Limited,,,,19/06/2025,,18/08/2025,,,,,20/06/2025,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/mynzepli
Human,Skyrizi,EMEA/H/C/004759,Authorised,,VR/0000296296,risankizumab,risankizumab,"Psoriasis;Arthritis, Psoriatic",,No,L04AC18,,Immunosuppressants,,"Plaque PsoriasisSkyrizi is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy.Psoriatic ArthritisSkyrizi, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adults who have had an inadequate response or who have been intolerant to one or more disease-modifying antirheumatic drugs (DMARDs). Crohn’s diseaseSkyrizi is indicated for the treatment of adult patients with moderately to severely active Crohn's disease who have had an inadequate response to, lost response to, or were intolerant to conventional therapy or a biologic therapy. Ulcerative colitisSkyrizi is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response to, lost response to, or were intolerant to conventional therapy or a biologic therapy.",No,No,No,No,No,No,No,No,No,AbbVie Deutschland GmbH & Co. KG,14/10/2025,,,28/02/2019,,26/04/2019,,,,29,26/06/2019,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/skyrizi
Human,Qoyvolma,EMEA/H/C/006649,Authorised,,VR/0000280926,ustekinumab,ustekinumab,"Psoriasis;Arthritis, Psoriatic;Colitis, Ulcerative;Crohn Disease",,No,L04AC05,,Immunosuppressants,,"Adult Crohn’s Disease&nbsp;Qoyvolma is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a TNFα antagonist.&nbsp;&nbsp;Paediatric Crohn's Disease &nbsp;Qoyvolma is indicated for the treatment of moderately to severely active Crohn’s disease in paediatric patients weighing at least 40 kg, who have had an inadequate response to, or were intolerant to either conventional or biologic therapy. &nbsp;&nbsp;Ulcerative colitis&nbsp;Qoyvolma is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic.&nbsp;   Plaque psoriasis&nbsp;Qoyvolma is indicated for the treatment of moderate to severe plaque psoriasis in adults who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapies including ciclosporin, methotrexate (MTX) or PUVA (psoralen and ultraviolet A).&nbsp;&nbsp;Paediatric plaque psoriasis&nbsp;Qoyvolma is indicated for the treatment of moderate to severe plaque psoriasis in children and adolescent patients from the age of 6 years and older, who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies.&nbsp;&nbsp;Psoriatic arthritis (PsA)&nbsp;Qoyvolma, alone or in combination with MTX, is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous non-biological disease-modifying anti-rheumatic drug (DMARD) therapy has been inadequate.",No,Yes,No,Yes,No,No,No,No,No,Celltrion Healthcare Hungary Kft.,05/09/2025,,,27/03/2025,,02/06/2025,,,,2,28/03/2025,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/qoyvolma
Human,Kavigale,EMEA/H/C/006291,Authorised,,VR/0000303378,sipavibart,sipavibart,COVID-19 virus infection,,No,J06BD09,,Immune sera and immunoglobulins,,Kavigale is indicated for the pre-exposure prophylaxis of COVID-19 in adults and adolescents 12 years of age and older weighing at least 40 kg and who are immunocompromised due to a medical condition or receipt of immunosuppressive treatments.Kavigale should be used in accordance with official recommendations where available and based on information on the activity of sipavibart against presently circulating viral variants (see sections 4.4 and 5.1).,No,No,No,No,No,No,No,No,No,AstraZeneca AB,17/10/2025,,,12/12/2024,,20/01/2025,,,,2,13/12/2024,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/kavigale
Human,Otulfi,EMEA/H/C/006544,Authorised,,VR/0000285631,ustekinumab,ustekinumab,"Crohn Disease;Colitis, Ulcerative",,No,L04AC05,,Immunosuppressants,,"Plaque psoriasisOtulfi is indicated for the treatment of moderate to severe plaque psoriasis in adults who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapies including ciclosporin, methotrexate (MTX) or PUVA (psoralen and ultraviolet A). Paediatric plaque psoriasisOtulfi is indicated for the treatment of moderate to severe plaque psoriasis in children and adolescent patients from the age of 6 years and older, and who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies. Psoriatic arthritis (PsA)Otulfi, alone or in combination with MTX, is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous non-biological disease- modifying anti-rheumatic drug (DMARD) therapy has been inadequate. Adult Crohn’s DiseaseOtulfi is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a TNFα antagonist. Paediatric Crohn's DiseaseOtulfi is indicated for the treatment of moderately to severely active Crohn’s disease in paediatric patients weighing at least 40 kg, who have had an inadequate response to, or were intolerant to either conventional or biologic therapy. Crohn’s DiseaseOtulfi is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a TNFα antagonist or have medical contraindications to such therapies.",No,Yes,No,Yes,No,No,No,No,No,Fresenius Kabi Deutschland GmbH,09/09/2025,,,25/07/2024,,25/09/2024,,,,4,26/07/2024,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/otulfi
Human,Sapropterin Dipharma,EMEA/H/C/005646,Authorised,,VR/0000247063,sapropterin,sapropterin dihydrochloride,Phenylketonurias,,No,A16AX07,,Other alimentary tract and metabolism products,,Sapropterin Dipharma is indicated for the treatment of hyperphenylalaninaemia (HPA) in adults and paediatric patients of all ages with phenylketonuria (PKU) who have been shown to be responsive to such treatment. Sapropterin Dipharma is also indicated for the treatment of hyperphenylalaninaemia (HPA) in adults and paediatric patients of all ages with tetrahydrobiopterin (BH4) deficiency who have been shown to be responsive to such treatment.,No,No,No,No,No,No,Yes,No,No,Dipharma Arzneimittel GmbH,20/02/2025,,,16/12/2021,,16/02/2022,,,,6,14/12/2021,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/sapropterin-dipharma
Human,Tecartus,EMEA/H/C/005102,Authorised,,VR/0000255932,brexucabtagene autoleucel,autologous peripheral blood T cells CD4 and CD8 selected and CD3 and CD28 activated transduced with retroviral vector expressing anti-CD19 CD28/CD3-zeta chimeric antigen receptor and cultured (brexucabtagene autoleucel),"Lymphoma, Mantle-Cell",,No,L01X,,Antineoplastic agents,,Mantle cell lymphoma Tecartus is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after two or more lines of systemic therapy including a Bruton’s tyrosine kinase (BTK) inhibitor. Acute lymphoblastic leukaemia Tecartus is indicated for the treatment of adult patients 26 years of age and above with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL).,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Kite Pharma EU B.V.,24/07/2025,,,15/10/2020,,14/12/2020,,,,14,25/01/2021,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/tecartus
Human,Polivy,EMEA/H/C/004870,Authorised,,VR/0000295634,polatuzumab vedotin,polatuzumab vedotin,"Lymphoma, B-Cell",,No,L01FX14,,Antineoplastic agents,,"Polivy in combination with bendamustine and rituximab is indicated for the treatment of adult patients with relapsed/refractory diffuse large B-cell lymphoma (DLBCL) who are not candidates for haematopoietic stem cell transplant. Polivy in combination with rituximab, cyclophosphamide, doxorubicin, and prednisone (R-CHP) is indicated for the treatment of adult patients with previously untreated diffuse large B-cell lymphoma (DLBCL).",No,Yes,No,No,No,No,No,Yes,Yes,Roche Registration GmbH,16/10/2025,,,14/11/2019,,16/01/2020,,,,7,27/01/2020,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/polivy
